%1$d already matched	已匹配 %1$d 项
%1$d areas were checked and everything they need is here.	已检查 %1$d 个区域，所需内容均已就绪.
%1$d fields overridden	已覆盖 %1$d 个字段
%1$d fields will be overridden when requested	请求时将覆盖 %1$d 个字段
%1$d gates selected	已选择 %1$d 个功能项
%1$d minutes left	剩余 %1$d 分钟
%1$d rejected	已拒绝 %1$d 项
%1$d results	%1$d 个结果
%1$d results so far	目前有 %1$d 个结果
%1$d results so far, and more not counted	目前有 %1$d 个结果，另有更多未计数
%1$d results, filtered to %2$s	%1$d 个结果，已筛选为 %2$s
%1$d setting was not in that file and was left as it is	有 %1$d 项设置不在该文件中，已保持原样
%1$d settings were not in that file and were left as they are	有 %1$d 项设置不在该文件中，已保持原样
%1$d unavailable	%1$d 项不可用
%1$s (%2$s)	%1$s（%2$s）
%1$s (TikTok value)	%1$s（TikTok 值）
%1$s (custom, unverified)	%1$s（自定义，未验证）
%1$s (override returned)	%1$s（已返回覆盖值）
%1$s (will be returned when requested)	%1$s（请求时将返回）
%1$s / current cache only	%1$s / 仅当前缓存
%1$s / generated registry	%1$s / 自动生成索引
%1$s / generated registry and current cache	%1$s / 自动生成索引和当前缓存
%1$s / local catalog	%1$s / 本地功能清单
%1$s and above	%1$s 及以上
%1$s appears more than once in this file.	%1$s 在此文件中出现了多次.
%1$s changed	%1$s 已更改
%1$s day	%1$s 天
%1$s days	%1$s 天
%1$s destinations must start with %2$s	%1$s 的目标位置必须以 %2$s 开头
%1$s dp	%1$s dp
%1$s has an invalid value. %2$s	%1$s 的值无效。%2$s
%1$s has type %2$s, but the file says %3$s.	%1$s 的类型是 %2$s，但文件中写的是 %3$s.
%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.	%1$s 已连续 %2$d 次隐藏 TikTok 发来的全部内容。如果这不是你想要的效果，请将其关闭.
%1$s is a kind of value the Lab cannot override.	%1$s 属于实验室无法覆盖的值类型.
%1$s is already hidden	%1$s 已被隐藏
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s 不是国家代码，因此不会有视频匹配。请使用两个字母，例如 GB、IE 或 US.
%1$s is not in this Lab catalog.	%1$s 不在实验室功能清单中.
%1$s isn't installed or doesn't take links	未安装 %1$s，或它不接受链接
%1$s left	剩余 %1$s
%1$s millisecond	%1$s 毫秒
%1$s milliseconds	%1$s 毫秒
%1$s min left	剩余 %1$s 分钟
%1$s minute	%1$s 分钟
%1$s minutes	%1$s 分钟
%1$s point	%1$s 点
%1$s points	%1$s 点
%1$s s	%1$s 秒
%1$s second	%1$s 秒
%1$s seconds	%1$s 秒
%1$s time	%1$s 次
%1$s times	%1$s 次
%1$s to %2$s	%1$s 到 %2$s
%1$s video	%1$s 个视频
%1$s videos	%1$s 个视频
%1$s videos left	剩余 %1$s 个视频
%1$s view per comment	每条评论 %1$s 次播放
%1$s view per like	每个赞 %1$s 次播放
%1$s views per comment	每条评论 %1$s 次播放
%1$s views per like	每个赞 %1$s 次播放
%1$s was rejected. %2$s	%1$s 被拒绝。%2$s
%1$s, %2$s or %3$s	%1$s、%2$s 或 %3$s
%1$s, %2$s, %3$s or %4$s	%1$s、%2$s、%3$s 或 %4$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s、%2$s、%3$s、%4$s、%5$s
%1$s, selected	%1$s，已选择
%1$s. %2$s	%1$s。%2$s
%1$s: %2$d found, %3$d missing	%1$s：找到 %2$d 项，缺少 %3$d 项
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数。首个缺失项：%4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项。首个缺失项：%4$s
%1$s: %2$s	%1$s：%2$s
1 field overridden	已覆盖 1 个字段
1 field will be overridden when requested	请求时将覆盖 1 个字段
1 gate selected	已选择 1 个功能项
1 min left	剩余 1 分钟
1 result	1 个结果
1 result so far	目前有 1 个结果
1 video left	剩余 1 个视频
A Lab change is already running	已有一项实验室更改正在进行
A creator pattern is taking too long and was turned off: %1$s	某个创作者匹配规则耗时过长，已自动关闭：%1$s
A diagnostic report is already being saved	已有诊断报告正在保存
A field value couldn't be read. Check the values and try again.	无法读取字段值。请检查各项数值后重试.
A file named hushfeed-safe-mode in TikTok's folder under Android/data paused Hushfeed. Your settings stay as they are.	Android/data 下 TikTok 文件夹中的 hushfeed-safe-mode 文件已暂停插件；设置不变.
A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.	强制值对本机所有账号生效，但无法绕过服务器检查.
A good place to stop, if you want one.	如果想停一停，现在正合适.
A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.	TikTok 使用摄像头时顶部显示绿点，录音时显示橙点；停止访问后消失.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	分享或复制链接时，用指定域名替换 tiktok.com，例如 vxtiktok.com。留空则保留 TikTok 原始链接。只会替换 TikTok 链接的域名，不会把内容发送到其他服务器.
A newer clear replaced that undo. Tap the row again to undo.	新的清除操作已覆盖上一次撤销记录。再次点按此项可撤销本次操作.
A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out.	信息流上的小标签显示今天剩余时间或视频数，以先用完的一项为准.
A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.	在“发送给”一栏点按某人只会先选中；在 %1$d 秒内再次点按同一人，才会发送视频.
A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.	评论中的网址可以直接点开，不用再手动复制；评论其他位置的点击操作不受影响.
AI-generated posts	AI 生成的帖子
About	关于
Activity	活动
Activity center (PIA)	活动中心\nPIA
Add	添加
Add a button beside the block control to send feedback about the current video.	在屏蔽按钮旁添加反馈当前视频的按钮.
Add a button that hides the current creator on this phone without blocking them.	添加按钮，仅在本机隐藏当前创作者，不拉黑账号.
Add a creator	添加创作者
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.	添加搜索框，可按文字或用户名筛选当前视频已加载的评论。它不会搜索整个 TikTok，也不会移除 TikTok 的推荐搜索横幅.
Add a separate button that skips videos using the current sound.	添加独立按钮，跳过使用当前声音的视频.
Add hidden creator	添加隐藏的创作者
Added %1$s	已添加 %1$s
Ads	广告
Advanced	高级
Advanced JSON value	高级 JSON 值
All	全部
All available languages	所有可用语言
All events	所有事件
All loaded tabs	所有已加载标签页
Allow Duet and Stitch anyway	始终允许合拍与拼接
Allow screenshots and Circle to Search	允许截图和“圈选搜索”
Allow storage for TikTok in Android settings to save profile pictures	请在 Android 设置中授予 TikTok 存储权限以保存头像
Allow storage for TikTok in Android settings to save sounds	请在 Android 设置中允许 TikTok 使用存储空间，以保存声音
Allow storage for TikTok in Android settings to save stories	请在 Android 设置中授予 TikTok 存储权限以保存限时动态
Allow storage for TikTok in Android settings to save the live photo's clip	请在 Android 设置中允许 TikTok 使用存储空间，以保存实况照片的视频片段
Already active	已启用
Already marked as not interested	已标记为不感兴趣
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	TikTok 新内容不足时会使用已下载视频；也对这些视频应用筛选规则.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	同时修改 TikTok 内部上报地区，不改变界面语言；IP 和账号规则仍可能影响地区判断.
Also on a block list, so still hidden: %1$s	同时也在屏蔽列表中，因此仍会隐藏：%1$s
Always show publish date	始终显示发布日期
Always show the publish date in video author information. Restart TikTok to apply this.	始终在视频作者信息中显示发布日期。重启 TikTok 后生效.
